order,seasonal_order,aic,bic
"(3, 0, 0)","(1, 1, 0, 5)",-2946.6855296998256,-2924.2776440534435
"(2, 0, 3)","(1, 1, 0, 5)",-2950.3324689485735,-2918.950717488373
"(1, 0, 0)","(1, 1, 0, 5)",-2931.2583032694274,-2917.8043975625214
"(3, 0, 1)","(1, 1, 0, 5)",-2942.825347962096,-2915.9358851864376
"(3, 0, 2)","(1, 1, 0, 5)",-2941.2103949882867,-2909.8393550833516
"(3, 0, 2)","(0, 1, 1, 5)",-2938.25626340035,-2906.8852234954147
"(0, 1, 0)","(1, 1, 0, 5)",-2892.9828065036063,-2884.0135360323357
"(0, 1, 1)","(1, 1, 0, 5)",-2896.5567899796692,-2883.1028842727633
"(0, 1, 2)","(1, 1, 0, 5)",-2896.6578912822683,-2878.7193503397275
"(1, 1, 0)","(1, 1, 0, 5)",-2891.6950106245463,-2878.2456885701745
"(1, 0, 3)","(0, 1, 0, 5)",-2899.587419565547,-2877.1489994731237
"(0, 1, 3)","(1, 1, 0, 5)",-2895.016382393359,-2872.593206215183
"(1, 1, 1)","(1, 1, 0, 5)",-2889.7343847202023,-2871.8019553143736
"(2, 1, 0)","(1, 1, 0, 5)",-2886.140147953617,-2868.2138394365115
"(1, 1, 2)","(1, 1, 0, 5)",-2888.217296663308,-2865.8017599060217
"(1, 1, 3)","(1, 1, 0, 5)",-2887.86649752878,-2860.967853420037
"(3, 1, 0)","(1, 1, 0, 5)",-2880.6683169827434,-2858.26809417311
"(2, 1, 3)","(0, 1, 0, 5)",-2883.2939957608087,-2856.3770310271443
"(2, 1, 2)","(1, 1, 0, 5)",-2881.562602893026,-2854.6731401173674
"(3, 1, 1)","(1, 1, 0, 5)",-2878.5752505704395,-2851.6949831988795
"(2, 1, 1)","(1, 1, 0, 5)",-2873.507774126,-2851.099888479618
"(3, 1, 3)","(0, 1, 0, 5)",-2882.4467758839005,-2851.043650361292
"(2, 0, 1)","(0, 1, 0, 5)",-2864.1220865966357,-2846.1591924586255
"(3, 1, 2)","(1, 1, 0, 5)",-2877.3372438461083,-2845.9769319126217
"(0, 0, 3)","(1, 0, 1, 5)",-2871.5787959913714,-2844.652691880464
"(2, 0, 1)","(1, 0, 0, 5)",-2865.6265823121093,-2843.172964639597
"(2, 0, 2)","(1, 0, 0, 5)",-2867.3187229869723,-2840.3743817799573
"(2, 0, 2)","(0, 1, 0, 5)",-2861.2678638847024,-2838.821839228076
"(3, 0, 0)","(0, 1, 0, 5)",-2853.773398696171,-2835.81657897087
"(3, 0, 2)","(0, 1, 0, 5)",-2862.2654879244474,-2835.3302583364953
"(2, 0, 0)","(0, 1, 0, 5)",-2846.8849325071833,-2833.412761903676
"(3, 0, 0)","(1, 0, 0, 5)",-2855.2419015695114,-2832.795876912885
"(2, 0, 0)","(1, 0, 0, 5)",-2848.70645480329,-2830.74356066528
"(3, 0, 1)","(0, 1, 0, 5)",-2852.3175998695624,-2829.871575212936
"(3, 0, 1)","(1, 0, 0, 5)",-2853.9218654533133,-2826.986635865361
"(1, 0, 1)","(0, 1, 0, 5)",-2837.66078989583,-2824.1886192923225
"(0, 0, 3)","(0, 1, 1, 5)",-2845.659839848033,-2823.2596170383995
